Issue,AgeGroup,Proportion,Significant,Issues
v199,0,0.2925257731958763,TRUE,Pensions - Currently
v199,1,0.07589285714285714,TRUE,Pensions - Currently
v200,0,0.33762886597938147,FALSE,Immigration - Currently
v200,1,0.29910714285714285,FALSE,Immigration - Currently
v201,0,0.07860824742268041,FALSE,Health care - Currently
v201,1,0.08928571428571429,FALSE,Health care - Currently
v202,0,0.4536082474226804,FALSE,Terrorism - Currently
v202,1,0.3794642857142857,FALSE,Terrorism - Currently
v203,0,0.04381443298969072,FALSE,Integration - Currently
v203,1,0.044642857142857144,FALSE,Integration - Currently
v204,0,0.023195876288659795,FALSE,Helpfulness - Currently
v204,1,0.008928571428571428,FALSE,Helpfulness - Currently
v205,0,0.41237113402061853,FALSE,Living costs - Currently
v205,1,0.4107142857142857,FALSE,Living costs - Currently
v206,0,0.05154639175257732,TRUE,Economic growth - Currently
v206,1,0.09375,TRUE,Economic growth - Currently
v207,0,0.11082474226804123,TRUE,Elderly care - Currently
v207,1,0.05357142857142857,TRUE,Elderly care - Currently
v208,0,0.02577319587628866,FALSE,Disabled care - Currently
v208,1,0.013392857142857142,FALSE,Disabled care - Currently
v209,0,0.33118556701030927,TRUE,Unemployment - Currently
v209,1,0.4419642857142857,TRUE,Unemployment - Currently
v210,0,0.21391752577319587,FALSE,Crime - Currently
v210,1,0.19642857142857142,FALSE,Crime - Currently
v211,0,0.06056701030927835,FALSE,Rich/poor gap - Currently
v211,1,0.08035714285714286,FALSE,Rich/poor gap - Currently
v212,0,0.006443298969072165,FALSE,Transportation - Currently
v212,1,0,FALSE,Transportation - Currently
v213,0,0.1211340206185567,TRUE,Education - Currently
v213,1,0.21428571428571427,TRUE,Education - Currently
v214,0,0.09020618556701031,TRUE,Environment - Currently
v214,1,0.20982142857142858,TRUE,Environment - Currently
v215,0,0.020618556701030927,FALSE,Globalisation - Currently
v215,1,0.017857142857142856,FALSE,Globalisation - Currently
v216,0,0.010309278350515464,FALSE,None - Currently
v216,1,0.017857142857142856,FALSE,None - Currently
v217,0,0.007731958762886598,FALSE,Don't know - Currently
v217,1,0.026785714285714284,FALSE,Don't know - Currently
v218,0,0.18427835051546393,FALSE,Pensions - Future
v218,1,0.13392857142857142,FALSE,Pensions - Future
v219,0,0.22036082474226804,FALSE,Immigration - Future
v219,1,0.20535714285714285,FALSE,Immigration - Future
v220,0,0.05412371134020619,FALSE,Health care - Future
v220,1,0.05357142857142857,FALSE,Health care - Future
v221,0,0.3247422680412371,TRUE,Terrorism - Future
v221,1,0.24553571428571427,TRUE,Terrorism - Future
v222,0,0.03994845360824742,FALSE,Integration - Future
v222,1,0.044642857142857144,FALSE,Integration - Future
v223,0,0.01675257731958763,FALSE,Helpfulness - Future
v223,1,0.017857142857142856,FALSE,Helpfulness - Future
v224,0,0.28865979381443296,FALSE,Living costs - Future
v224,1,0.3080357142857143,FALSE,Living costs - Future
v225,0,0.05412371134020619,FALSE,Economic growth - Future
v225,1,0.08035714285714286,FALSE,Economic growth - Future
v226,0,0.08634020618556701,TRUE,Elderly care - Future
v226,1,0.04017857142857143,TRUE,Elderly care - Future
v227,0,0.01675257731958763,FALSE,Disabled care - Future
v227,1,0.004464285714285714,FALSE,Disabled care - Future
v228,0,0.39304123711340205,FALSE,Unemployment - Future
v228,1,0.3482142857142857,FALSE,Unemployment - Future
v229,0,0.21262886597938144,TRUE,Crime - Future
v229,1,0.14285714285714285,TRUE,Crime - Future
v230,0,0.059278350515463915,FALSE,Rich/poor gap - Future
v230,1,0.07589285714285714,FALSE,Rich/poor gap - Future
v231,0,0.003865979381443299,FALSE,Transportation - Future
v231,1,0.017857142857142856,FALSE,Transportation - Future
v232,0,0.15850515463917525,TRUE,Education - Future
v232,1,0.28125,TRUE,Education - Future
v233,0,0.2345360824742268,FALSE,Environment - Future
v233,1,0.29464285714285715,FALSE,Environment - Future
v234,0,0.03221649484536082,FALSE,Globalisation - Future
v234,1,0.049107142857142856,FALSE,Globalisation - Future
v235,0,0.015463917525773196,FALSE,None - Future
v235,1,0.022321428571428572,FALSE,None - Future
v236,0,0.09407216494845361,FALSE,Don't know - Future
v236,1,0.10714285714285714,FALSE,Don't know - Future
