Issue,AgeGroup,Proportion,Significant,Issues
v199,0,0.3350189633375474,TRUE,Pensions - Currently
v199,1,0.22624434389140272,TRUE,Pensions - Currently
v200,0,0.1390644753476612,TRUE,Immigration - Currently
v200,1,0.08144796380090498,TRUE,Immigration - Currently
v201,0,0.17446270543615677,TRUE,Health care - Currently
v201,1,0.058823529411764705,TRUE,Health care - Currently
v202,0,0.21744627054361568,TRUE,Terrorism - Currently
v202,1,0.12669683257918551,TRUE,Terrorism - Currently
v203,0,0.09734513274336283,FALSE,Integration - Currently
v203,1,0.09954751131221719,FALSE,Integration - Currently
v204,0,0.041719342604298354,TRUE,Helpfulness - Currently
v204,1,0.1085972850678733,TRUE,Helpfulness - Currently
v205,0,0.3906447534766119,TRUE,Living costs - Currently
v205,1,0.5656108597285068,TRUE,Living costs - Currently
v206,0,0.0897597977243995,TRUE,Economic growth - Currently
v206,1,0.04072398190045249,TRUE,Economic growth - Currently
v207,0,0.1264222503160556,TRUE,Elderly care - Currently
v207,1,0.07239819004524888,TRUE,Elderly care - Currently
v208,0,0.07332490518331226,FALSE,Disabled care - Currently
v208,1,0.049773755656108594,FALSE,Disabled care - Currently
v209,0,0.37041719342604296,TRUE,Unemployment - Currently
v209,1,0.4660633484162896,TRUE,Unemployment - Currently
v210,0,0.11125158027812895,FALSE,Crime - Currently
v210,1,0.14027149321266968,FALSE,Crime - Currently
v211,0,0.21491782553729458,FALSE,Rich/poor gap - Currently
v211,1,0.24434389140271492,FALSE,Rich/poor gap - Currently
v212,0,0.010113780025284451,FALSE,Transportation - Currently
v212,1,0.00904977375565611,FALSE,Transportation - Currently
v213,0,0.21618204804045513,TRUE,Education - Currently
v213,1,0.33031674208144796,TRUE,Education - Currently
v214,0,0.21491782553729458,FALSE,Environment - Currently
v214,1,0.23076923076923078,FALSE,Environment - Currently
v215,0,0.10493046776232617,FALSE,Globalisation - Currently
v215,1,0.058823529411764705,FALSE,Globalisation - Currently
v216,0,0,FALSE,None - Currently
v216,1,0.004524886877828055,FALSE,None - Currently
v217,0,0.0037926675094816687,FALSE,Don't know - Currently
v217,1,0.004524886877828055,FALSE,Don't know - Currently
v218,0,0.3843236409608091,TRUE,Pensions - Future
v218,1,0.29411764705882354,TRUE,Pensions - Future
v219,0,0.07711757269279393,FALSE,Immigration - Future
v219,1,0.07692307692307693,FALSE,Immigration - Future
v220,0,0.15170670037926676,TRUE,Health care - Future
v220,1,0.058823529411764705,TRUE,Health care - Future
v221,0,0.12895069532237674,FALSE,Terrorism - Future
v221,1,0.14479638009049775,FALSE,Terrorism - Future
v222,0,0.0632111251580278,FALSE,Integration - Future
v222,1,0.06787330316742081,FALSE,Integration - Future
v223,0,0.040455120101137804,TRUE,Helpfulness - Future
v223,1,0.09954751131221719,TRUE,Helpfulness - Future
v224,0,0.2629582806573957,TRUE,Living costs - Future
v224,1,0.4117647058823529,TRUE,Living costs - Future
v225,0,0.1390644753476612,FALSE,Economic growth - Future
v225,1,0.09049773755656108,FALSE,Economic growth - Future
v226,0,0.07585335018963338,FALSE,Elderly care - Future
v226,1,0.06787330316742081,FALSE,Elderly care - Future
v227,0,0.01643489254108723,FALSE,Disabled care - Future
v227,1,0.03619909502262444,FALSE,Disabled care - Future
v228,0,0.5398230088495575,FALSE,Unemployment - Future
v228,1,0.5339366515837104,FALSE,Unemployment - Future
v229,0,0.09608091024020228,FALSE,Crime - Future
v229,1,0.13574660633484162,FALSE,Crime - Future
v230,0,0.16940581542351454,FALSE,Rich/poor gap - Future
v230,1,0.11312217194570136,FALSE,Rich/poor gap - Future
v231,0,0.0050568900126422255,FALSE,Transportation - Future
v231,1,0.013574660633484163,FALSE,Transportation - Future
v232,0,0.22756005056890014,TRUE,Education - Future
v232,1,0.31221719457013575,TRUE,Education - Future
v233,0,0.32869785082174463,FALSE,Environment - Future
v233,1,0.38009049773755654,FALSE,Environment - Future
v234,0,0.12515802781289506,TRUE,Globalisation - Future
v234,1,0.07239819004524888,TRUE,Globalisation - Future
v235,0,0.0012642225031605564,FALSE,None - Future
v235,1,0,FALSE,None - Future
v236,0,0.020227560050568902,FALSE,Don't know - Future
v236,1,0.004524886877828055,FALSE,Don't know - Future
