Issue,AgeGroup,Proportion,Significant,Issues
v199,0,0.2810539523212045,FALSE,Pensions - Currently
v199,1,0.21991701244813278,FALSE,Pensions - Currently
v200,0,0.24968632371392724,FALSE,Immigration - Currently
v200,1,0.26556016597510373,FALSE,Immigration - Currently
v201,0,0.1932245922208281,TRUE,Health care - Currently
v201,1,0.11618257261410789,TRUE,Health care - Currently
v202,0,0.2810539523212045,FALSE,Terrorism - Currently
v202,1,0.3070539419087137,FALSE,Terrorism - Currently
v203,0,0.1191969887076537,FALSE,Integration - Currently
v203,1,0.0954356846473029,FALSE,Integration - Currently
v204,0,0.05144291091593475,FALSE,Helpfulness - Currently
v204,1,0.07053941908713693,FALSE,Helpfulness - Currently
v205,0,0.4316185696361355,FALSE,Living costs - Currently
v205,1,0.48132780082987553,FALSE,Living costs - Currently
v206,0,0.11166875784190715,FALSE,Economic growth - Currently
v206,1,0.13692946058091288,FALSE,Economic growth - Currently
v207,0,0.06273525721455459,TRUE,Elderly care - Currently
v207,1,0.012448132780082987,TRUE,Elderly care - Currently
v208,0,0.01756587202007528,FALSE,Disabled care - Currently
v208,1,0.016597510373443983,FALSE,Disabled care - Currently
v209,0,0.3124215809284818,TRUE,Unemployment - Currently
v209,1,0.48132780082987553,TRUE,Unemployment - Currently
v210,0,0.2659974905897114,FALSE,Crime - Currently
v210,1,0.24481327800829875,FALSE,Crime - Currently
v211,0,0.09410288582183186,FALSE,Rich/poor gap - Currently
v211,1,0.12033195020746888,FALSE,Rich/poor gap - Currently
v212,0,0.00878293601003764,FALSE,Transportation - Currently
v212,1,0.004149377593360996,FALSE,Transportation - Currently
v213,0,0.028858218318695106,FALSE,Education - Currently
v213,1,0.04564315352697095,FALSE,Education - Currently
v214,0,0.11041405269761606,FALSE,Environment - Currently
v214,1,0.1037344398340249,FALSE,Environment - Currently
v215,0,0.026348808030112924,FALSE,Globalisation - Currently
v215,1,0.03734439834024896,FALSE,Globalisation - Currently
v216,0,0.002509410288582183,FALSE,None - Currently
v216,1,0.004149377593360996,FALSE,None - Currently
v217,0,0.005018820577164366,FALSE,Don't know - Currently
v217,1,0.008298755186721992,FALSE,Don't know - Currently
v218,0,0.27854454203262236,FALSE,Pensions - Future
v218,1,0.2697095435684647,FALSE,Pensions - Future
v219,0,0.20326223337515684,FALSE,Immigration - Future
v219,1,0.17427385892116182,FALSE,Immigration - Future
v220,0,0.12923462986198245,FALSE,Health care - Future
v220,1,0.1078838174273859,FALSE,Health care - Future
v221,0,0.2722710163111669,FALSE,Terrorism - Future
v221,1,0.24481327800829875,FALSE,Terrorism - Future
v222,0,0.12421580928481807,FALSE,Integration - Future
v222,1,0.12448132780082988,FALSE,Integration - Future
v223,0,0.07653701380175659,FALSE,Helpfulness - Future
v223,1,0.07468879668049792,FALSE,Helpfulness - Future
v224,0,0.31493099121706397,FALSE,Living costs - Future
v224,1,0.33195020746887965,FALSE,Living costs - Future
v225,0,0.14554579673776663,FALSE,Economic growth - Future
v225,1,0.14937759336099585,FALSE,Economic growth - Future
v226,0,0.050188205771643665,FALSE,Elderly care - Future
v226,1,0.05394190871369295,FALSE,Elderly care - Future
v227,0,0.01756587202007528,FALSE,Disabled care - Future
v227,1,0.024896265560165973,FALSE,Disabled care - Future
v228,0,0.3989962358845671,TRUE,Unemployment - Future
v228,1,0.4979253112033195,TRUE,Unemployment - Future
v229,0,0.2835633626097867,FALSE,Crime - Future
v229,1,0.2987551867219917,FALSE,Crime - Future
v230,0,0.1028858218318695,FALSE,Rich/poor gap - Future
v230,1,0.1078838174273859,FALSE,Rich/poor gap - Future
v231,0,0.015056461731493099,FALSE,Transportation - Future
v231,1,0.012448132780082987,FALSE,Transportation - Future
v232,0,0.060225846925972396,FALSE,Education - Future
v232,1,0.058091286307053944,FALSE,Education - Future
v233,0,0.17063989962358847,FALSE,Environment - Future
v233,1,0.1825726141078838,FALSE,Environment - Future
v234,0,0.03638644918444166,FALSE,Globalisation - Future
v234,1,0.04564315352697095,FALSE,Globalisation - Future
v235,0,0.002509410288582183,FALSE,None - Future
v235,1,0.008298755186721992,FALSE,None - Future
v236,0,0.010037641154328732,FALSE,Don't know - Future
v236,1,0.012448132780082987,FALSE,Don't know - Future
