Issue,AgeGroup,Proportion,Significant,Issues
v199,0,0.3107074569789675,TRUE,Pensions - Currently
v199,1,0.10408921933085502,TRUE,Pensions - Currently
v200,0,0.1806883365200765,FALSE,Immigration - Currently
v200,1,0.13382899628252787,FALSE,Immigration - Currently
v201,0,0.3049713193116635,TRUE,Health care - Currently
v201,1,0.21933085501858737,TRUE,Health care - Currently
v202,0,0.2762906309751434,TRUE,Terrorism - Currently
v202,1,0.3940520446096654,TRUE,Terrorism - Currently
v203,0,0.052581261950286805,FALSE,Integration - Currently
v203,1,0.02973977695167286,FALSE,Integration - Currently
v204,0,0.09082217973231357,FALSE,Helpfulness - Currently
v204,1,0.08921933085501858,FALSE,Helpfulness - Currently
v205,0,0.30210325047801145,TRUE,Living costs - Currently
v205,1,0.4052044609665427,TRUE,Living costs - Currently
v206,0,0.027724665391969407,FALSE,Economic growth - Currently
v206,1,0.040892193308550186,FALSE,Economic growth - Currently
v207,0,0.25430210325047803,TRUE,Elderly care - Currently
v207,1,0.12267657992565056,TRUE,Elderly care - Currently
v208,0,0.10038240917782026,FALSE,Disabled care - Currently
v208,1,0.06319702602230483,FALSE,Disabled care - Currently
v209,0,0.11089866156787763,TRUE,Unemployment - Currently
v209,1,0.19330855018587362,TRUE,Unemployment - Currently
v210,0,0.37667304015296366,TRUE,Crime - Currently
v210,1,0.4684014869888476,TRUE,Crime - Currently
v211,0,0.08317399617590822,FALSE,Rich/poor gap - Currently
v211,1,0.09293680297397769,FALSE,Rich/poor gap - Currently
v212,0,0.04684512428298279,FALSE,Transportation - Currently
v212,1,0.040892193308550186,FALSE,Transportation - Currently
v213,0,0.1462715105162524,TRUE,Education - Currently
v213,1,0.25650557620817843,TRUE,Education - Currently
v214,0,0.14053537284894838,TRUE,Environment - Currently
v214,1,0.20446096654275092,TRUE,Environment - Currently
v215,0,0.03154875717017208,FALSE,Globalisation - Currently
v215,1,0.04460966542750929,FALSE,Globalisation - Currently
v216,0,0.008604206500956023,FALSE,None - Currently
v216,1,0.01486988847583643,FALSE,None - Currently
v217,0,0.016252390057361378,FALSE,Don't know - Currently
v217,1,0.007434944237918215,FALSE,Don't know - Currently
v218,0,0.28680688336520077,TRUE,Pensions - Future
v218,1,0.1524163568773234,TRUE,Pensions - Future
v219,0,0.124282982791587,FALSE,Immigration - Future
v219,1,0.09293680297397769,FALSE,Immigration - Future
v220,0,0.2179732313575526,FALSE,Health care - Future
v220,1,0.17100371747211895,FALSE,Health care - Future
v221,0,0.24282982791587,TRUE,Terrorism - Future
v221,1,0.3159851301115242,TRUE,Terrorism - Future
v222,0,0.05162523900573614,FALSE,Integration - Future
v222,1,0.02973977695167286,FALSE,Integration - Future
v223,0,0.07265774378585087,FALSE,Helpfulness - Future
v223,1,0.06691449814126393,FALSE,Helpfulness - Future
v224,0,0.3011472275334608,TRUE,Living costs - Future
v224,1,0.3903345724907063,TRUE,Living costs - Future
v225,0,0.06978967495219886,FALSE,Economic growth - Future
v225,1,0.06691449814126393,FALSE,Economic growth - Future
v226,0,0.10325047801147227,FALSE,Elderly care - Future
v226,1,0.07806691449814127,FALSE,Elderly care - Future
v227,0,0.040152963671128104,FALSE,Disabled care - Future
v227,1,0.04460966542750929,FALSE,Disabled care - Future
v228,0,0.2361376673040153,FALSE,Unemployment - Future
v228,1,0.26765799256505574,FALSE,Unemployment - Future
v229,0,0.34990439770554493,FALSE,Crime - Future
v229,1,0.40148698884758366,FALSE,Crime - Future
v230,0,0.07361376673040153,FALSE,Rich/poor gap - Future
v230,1,0.08921933085501858,FALSE,Rich/poor gap - Future
v231,0,0.030592734225621414,FALSE,Transportation - Future
v231,1,0.01486988847583643,FALSE,Transportation - Future
v232,0,0.22657743785850862,TRUE,Education - Future
v232,1,0.29739776951672864,TRUE,Education - Future
v233,0,0.251434034416826,TRUE,Environment - Future
v233,1,0.3382899628252788,TRUE,Environment - Future
v234,0,0.07074569789674952,FALSE,Globalisation - Future
v234,1,0.05947955390334572,FALSE,Globalisation - Future
v235,0,0.014340344168260038,FALSE,None - Future
v235,1,0.01486988847583643,FALSE,None - Future
v236,0,0.03919694072657744,TRUE,Don't know - Future
v236,1,0.011152416356877323,TRUE,Don't know - Future
