Issue,AgeGroup,Proportion,Significant,Issues
v199,0,0.3052785923753666,TRUE,Pensions - Currently
v199,1,0.1549738219895288,TRUE,Pensions - Currently
v200,0,0.22287390029325513,FALSE,Immigration - Currently
v200,1,0.193717277486911,FALSE,Immigration - Currently
v201,0,0.19706744868035192,TRUE,Health care - Currently
v201,1,0.1256544502617801,TRUE,Health care - Currently
v202,0,0.3041055718475073,FALSE,Terrorism - Currently
v202,1,0.3068062827225131,FALSE,Terrorism - Currently
v203,0,0.07653958944281525,FALSE,Integration - Currently
v203,1,0.06596858638743455,FALSE,Integration - Currently
v204,0,0.054838709677419356,FALSE,Helpfulness - Currently
v204,1,0.07015706806282722,FALSE,Helpfulness - Currently
v205,0,0.3780058651026393,TRUE,Living costs - Currently
v205,1,0.46282722513089003,TRUE,Living costs - Currently
v206,0,0.06715542521994135,FALSE,Economic growth - Currently
v206,1,0.0774869109947644,FALSE,Economic growth - Currently
v207,0,0.1472140762463343,TRUE,Elderly care - Currently
v207,1,0.06701570680628273,TRUE,Elderly care - Currently
v208,0,0.05777126099706745,TRUE,Disabled care - Currently
v208,1,0.03664921465968586,TRUE,Disabled care - Currently
v209,0,0.26832844574780057,TRUE,Unemployment - Currently
v209,1,0.387434554973822,TRUE,Unemployment - Currently
v210,0,0.25219941348973607,FALSE,Crime - Currently
v210,1,0.27225130890052357,FALSE,Crime - Currently
v211,0,0.11114369501466276,FALSE,Rich/poor gap - Currently
v211,1,0.1319371727748691,FALSE,Rich/poor gap - Currently
v212,0,0.020234604105571846,FALSE,Transportation - Currently
v212,1,0.014659685863874346,FALSE,Transportation - Currently
v213,0,0.12932551319648095,TRUE,Education - Currently
v213,1,0.21047120418848167,TRUE,Education - Currently
v214,0,0.13929618768328444,TRUE,Environment - Currently
v214,1,0.18638743455497384,TRUE,Environment - Currently
v215,0,0.044868035190615836,FALSE,Globalisation - Currently
v215,1,0.039790575916230364,FALSE,Globalisation - Currently
v216,0,0.005571847507331379,FALSE,None - Currently
v216,1,0.010471204188481676,FALSE,None - Currently
v217,0,0.008797653958944282,FALSE,Don't know - Currently
v217,1,0.011518324607329843,FALSE,Don't know - Currently
v218,0,0.2841642228739003,TRUE,Pensions - Future
v218,1,0.21047120418848167,TRUE,Pensions - Future
v219,0,0.1536656891495601,FALSE,Immigration - Future
v219,1,0.13612565445026178,FALSE,Immigration - Future
v220,0,0.14457478005865101,TRUE,Health care - Future
v220,1,0.10157068062827225,TRUE,Health care - Future
v221,0,0.24193548387096775,FALSE,Terrorism - Future
v221,1,0.2418848167539267,FALSE,Terrorism - Future
v222,0,0.0686217008797654,FALSE,Integration - Future
v222,1,0.06596858638743455,FALSE,Integration - Future
v223,0,0.05337243401759531,FALSE,Helpfulness - Future
v223,1,0.06492146596858639,FALSE,Helpfulness - Future
v224,0,0.29266862170087976,TRUE,Living costs - Future
v224,1,0.3612565445026178,TRUE,Living costs - Future
v225,0,0.1,FALSE,Economic growth - Future
v225,1,0.09633507853403141,FALSE,Economic growth - Future
v226,0,0.08064516129032258,TRUE,Elderly care - Future
v226,1,0.060732984293193716,TRUE,Elderly care - Future
v227,0,0.02404692082111437,FALSE,Disabled care - Future
v227,1,0.028272251308900525,FALSE,Disabled care - Future
v228,0,0.3803519061583578,FALSE,Unemployment - Future
v228,1,0.406282722513089,FALSE,Unemployment - Future
v229,0,0.24428152492668623,FALSE,Crime - Future
v229,1,0.2534031413612565,FALSE,Crime - Future
v230,0,0.09941348973607038,FALSE,Rich/poor gap - Future
v230,1,0.09633507853403141,FALSE,Rich/poor gap - Future
v231,0,0.014956011730205278,FALSE,Transportation - Future
v231,1,0.014659685863874346,FALSE,Transportation - Future
v232,0,0.1724340175953079,TRUE,Education - Future
v232,1,0.23664921465968586,TRUE,Education - Future
v233,0,0.24662756598240468,TRUE,Environment - Future
v233,1,0.29842931937172773,TRUE,Environment - Future
v234,0,0.06656891495601173,FALSE,Globalisation - Future
v234,1,0.05654450261780105,FALSE,Globalisation - Future
v235,0,0.008797653958944282,FALSE,None - Future
v235,1,0.011518324607329843,FALSE,None - Future
v236,0,0.04046920821114369,FALSE,Don't know - Future
v236,1,0.032460732984293195,FALSE,Don't know - Future
