Issue,AgeGroup,Proportion,Significant,Issues,country,year,rank
v200,0,0.33762886597938147,FALSE,Immigration - Currently,ES,2006,3
v202,0,0.4536082474226804,FALSE,Terrorism - Currently,ES,2006,1
v202,1,0.3794642857142857,FALSE,Terrorism - Currently,ES,2006,3
v205,0,0.41237113402061853,FALSE,Living costs - Currently,ES,2006,2
v205,1,0.4107142857142857,FALSE,Living costs - Currently,ES,2006,2
v209,1,0.4419642857142857,TRUE,Unemployment - Currently,ES,2006,1
v199,0,0.3350189633375474,TRUE,Pensions - Currently,FR,2006,3
v205,0,0.3906447534766119,TRUE,Living costs - Currently,FR,2006,1
v205,1,0.5656108597285068,TRUE,Living costs - Currently,FR,2006,1
v209,0,0.37041719342604296,TRUE,Unemployment - Currently,FR,2006,2
v209,1,0.4660633484162896,TRUE,Unemployment - Currently,FR,2006,2
v213,1,0.33031674208144796,TRUE,Education - Currently,FR,2006,3
v199,0,0.2810539523212045,FALSE,Pensions - Currently,IT,2006,3
v200,1,0.26556016597510373,FALSE,Immigration - Currently,IT,2006,3
v202,0,0.2810539523212045,FALSE,Terrorism - Currently,IT,2006,3
v202,1,0.3070539419087137,FALSE,Terrorism - Currently,IT,2006,2
v205,0,0.4316185696361355,FALSE,Living costs - Currently,IT,2006,1
v205,1,0.48132780082987553,FALSE,Living costs - Currently,IT,2006,1
v209,0,0.3124215809284818,TRUE,Unemployment - Currently,IT,2006,2
v209,1,0.48132780082987553,TRUE,Unemployment - Currently,IT,2006,1
v199,0,0.3107074569789675,TRUE,Pensions - Currently,UK,2006,2
v201,0,0.3049713193116635,TRUE,Health care - Currently,UK,2006,3
v202,1,0.3940520446096654,TRUE,Terrorism - Currently,UK,2006,3
v205,1,0.4052044609665427,TRUE,Living costs - Currently,UK,2006,2
v210,0,0.37667304015296366,TRUE,Crime - Currently,UK,2006,1
v210,1,0.4684014869888476,TRUE,Crime - Currently,UK,2006,1
